1	1	1	3	active
2	2	2	4	active
3	3	3	4	active
4	4	4	4	active
5	5	5	5	active
6	6	6	5	active
7	7	7	5	active
8	8	8	5	active
9	9	9	5	active
10	10	10	5	active
11	11	11	4	active
12	12	12	4	active
13	13	13	5	active
14	14	14	4	active
15	15	15	3	active
16	16	16	3	active
17	17	17	3	active
18	18	18	3	active
19	19	19	2	active
20	20	20	2	active
21	21	21	4	active
22	22	22	5	active
23	23	23	4	active
24	24	24	3	active
25	25	25	2	active
26	26	26	3	active
27	27	27	4	active
28	28	28	4	active
29	29	29	4	active
30	30	30	4	active
31	31	31	5	active
32	32	32	4	active
33	33	33	3	active
34	34	34	2	active
35	35	35	5	active
36	36	36	4	active
37	37	37	3	active
38	38	38	5	active
39	39	39	4	active
40	40	40	3	active
41	41	41	2	active
42	42	42	3	active
43	43	43	4	active
44	44	44	5	active
45	45	45	4	active
46	46	46	3	active
47	47	47	2	active
48	48	48	3	active
49	49	49	4	active
50	50	50	5	active
51	51	51	4	active
52	52	52	3	active
53	53	53	4	active
54	54	54	4	active
55	55	55	4	active
56	56	56	3	active
57	57	57	3	active
58	58	58	3	active
59	59	59	4	active
60	60	60	4	active
61	61	61	4	active
62	62	62	5	active
63	63	63	4	active
64	64	64	3	active
65	65	65	3	active
66	66	66	5	active
67	67	67	4	active
68	68	68	3	active
69	69	69	3	active
70	70	70	2	active
71	71	71	5	active
72	72	72	3	active
73	73	73	3	active
74	74	74	4	active
75	75	75	2	active
76	76	76	3	active
77	77	77	4	active
78	78	78	2	active
79	79	79	3	active
80	80	80	4	active
81	81	81	3	active
82	82	82	2	active
83	83	83	4	active
84	84	84	3	active
85	85	85	4	active
86	86	86	5	active
87	87	87	5	active
88	88	88	2	active
89	89	89	3	active
90	90	90	5	active
91	91	91	2	active
92	92	92	5	active
93	93	93	2	active
94	94	94	2	active
95	95	95	3	active
96	96	96	5	active
97	97	97	3	active
98	98	98	3	active
99	99	99	5	active
100	100	100	3	active
101	101	101	3	active
102	102	102	2	active
103	103	103	3	active
104	104	104	3	active
105	105	105	4	active
106	106	106	5	active
107	107	107	2	active
108	108	108	3	active
109	109	109	2	active
110	110	110	5	active
111	111	111	3	active
112	112	112	2	active
113	113	113	4	active
114	114	114	3	active
115	115	115	2	active
116	116	116	3	active
117	117	117	4	active
118	118	118	2	active
119	119	119	3	active
120	120	120	4	active
121	121	121	5	active
122	122	122	3	active
123	123	123	4	active
124	124	124	3	active
125	125	125	2	active
126	126	126	3	active
127	127	127	4	active
128	128	128	5	active
129	129	129	3	active
130	130	130	5	active
131	131	131	2	active
132	132	132	3	active
133	133	133	4	active
134	134	134	4	active
135	135	135	2	active
136	136	136	3	active
137	137	137	4	active
138	138	138	2	active
139	139	139	3	active
140	140	140	2	active
141	141	141	5	active
142	142	142	2	active
143	143	143	2	active
144	144	144	5	active
145	145	145	3	active
146	146	146	3	active
147	147	147	4	active
148	148	148	4	active
149	149	149	4	active
150	150	150	4	active
151	151	151	5	active
152	152	152	4	active
153	153	153	3	active
154	154	154	2	active
155	155	155	1	active
156	156	156	2	active
157	157	157	3	active
158	158	158	4	active
159	159	159	5	active
160	160	160	5	active
161	161	161	4	active
162	162	162	4	active
163	163	163	3	active
164	164	164	3	active
165	165	165	2	active
166	166	166	2	active
167	167	167	3	active
168	168	168	4	active
169	169	169	5	active
170	170	170	1	active
171	171	171	2	active
172	172	172	3	active
173	173	173	3	active
174	174	174	3	active
175	175	175	3	active
176	176	176	3	active
177	177	177	2	active
178	178	178	3	active
179	179	179	4	active
180	180	180	4	active
181	181	181	4	active
182	182	182	4	active
183	183	183	4	active
184	184	184	2	active
185	185	185	5	active
186	186	186	4	active
187	187	187	4	active
188	188	188	4	active
189	189	189	5	active
190	190	190	4	active
191	191	191	4	active
192	192	192	4	active
193	193	193	4	active
194	194	194	4	active
195	195	195	4	active
196	196	196	5	active
197	197	197	4	active
198	198	198	4	active
199	199	199	5	active
200	200	200	4	active
201	201	201	3	active
202	202	202	5	active
203	203	203	3	active
204	204	204	5	active
205	205	205	4	active
206	206	206	4	active
207	207	207	4	active
208	208	208	3	active
209	209	209	3	active
210	210	210	4	active
211	211	211	4	active
212	212	212	4	active
213	213	213	4	active
214	214	214	3	active
215	215	215	3	active
216	216	216	4	active
217	217	217	3	active
218	218	218	3	active
219	219	219	4	active
220	220	220	3	active
221	221	221	4	active
222	222	222	3	active
223	223	223	3	active
224	224	224	4	active
225	225	225	3	active
226	226	226	4	active
227	227	227	3	active
228	228	228	4	active
229	229	229	3	active
230	230	230	4	active
231	231	231	4	active
232	232	232	4	active
233	233	233	4	active
234	234	234	3	active
235	235	235	4	active
236	236	236	4	active
237	237	237	4	active
238	238	238	5	active
239	239	239	3	active
240	240	240	4	active
241	241	241	5	active
242	242	242	4	active
243	243	243	3	active
244	244	244	3	active
245	245	245	2	active
246	246	246	3	active
247	247	247	5	active
248	248	248	3	active
249	249	249	5	active
250	250	250	5	active
251	251	251	2	active
252	252	252	3	active
253	253	253	2	active
254	254	254	3	active
